date,time,latitude,longitude,temperature,humidity,pressure,ae,we,ppb
2018-02-06,14:58:20,48.149638,11.536645,0.270085,79.893188,954.679993,242.125000,242.062500,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.745403,78.290993,954.739990,242.343750,242.375000,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.929656,77.404442,954.840027,242.375000,242.281250,34.520351
2018-02-06,14:58:20,48.149638,11.536645,1.212711,76.617073,954.859985,242.406250,242.406250,34.883724
2018-02-06,14:58:20,48.149638,11.536645,1.308843,75.942627,954.989990,242.156250,242.062500,34.520351
2018-02-06,14:58:20,48.149638,11.536645,1.394293,75.759521,954.929993,242.031250,242.093750,35.125973
2018-02-06,14:58:20,48.149638,11.536645,1.490425,75.582512,955.010010,242.156250,242.187500,35.004848
2018-02-06,14:58:20,48.149638,11.536645,1.589227,75.147629,955.140015,242.156250,242.500000,36.216087
2018-02-06,14:58:20,48.149638,11.536645,1.575876,75.014877,955.150024,241.812500,241.843750,35.004848
2018-02-06,14:58:20,48.149638,11.536645,1.562524,75.239182,955.109985,241.875000,241.906250,35.004848
2018-02-06,14:58:20,48.149638,11.536645,1.631952,74.677650,955.369995,242.000000,242.062500,35.125973
2018-02-06,14:58:20,48.149638,11.536645,1.631952,74.505226,955.239990,242.125000,242.093750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,1.631952,74.389259,955.440002,242.062500,242.062500,34.883724
2018-02-06,14:58:20,48.149638,11.536645,1.631952,74.760056,955.460022,242.000000,242.156250,35.489342
2018-02-06,14:58:20,48.149638,11.536645,1.645304,75.013351,955.530029,241.968750,242.031250,35.125973
2018-02-06,14:58:20,48.149638,11.536645,1.658656,75.310905,955.559998,242.406250,242.500000,35.247093
2018-02-06,14:58:20,48.149638,11.536645,1.658656,74.814987,955.719971,242.000000,242.062500,35.125973
2018-02-06,14:58:20,48.149638,11.536645,1.701381,74.929428,955.809998,242.031250,242.156250,35.368217
2018-02-06,14:58:20,48.149638,11.536645,1.674678,75.376518,955.859985,242.093750,242.093750,34.883724
2018-02-06,14:58:20,48.149638,11.536645,1.714733,75.234604,956.010010,242.093750,242.218750,35.368217
